"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"1","Vrouw","Uitwonend",9905,4295,5266,5373,3041,2545,7395,37820,FALSE
"2","Vrouw","Uitwonend",10285,4431,10584,2608,2041,6717,11853,48519,TRUE
"3","Vrouw","Uitwonend",5906,4997,6987,8054,7543,6789,9080,49356,FALSE
"4","Vrouw","Thuiswonend",4094,5949,2808,1454,17456,4546,16316,52623,FALSE
"5","Man","Thuiswonend",9304,1136,7600,5368,847,8703,4292,37250,FALSE
"6","Man","Thuiswonend",18769,16589,7969,13499,6739,4564,10398,78527,TRUE
"7","Man","Thuiswonend",11973,9937,14253,2907,4456,7818,3440,54784,TRUE
"8","Vrouw","Uitwonend",17107,10586,11085,6768,16327,3273,7038,72184,TRUE
"9","Vrouw","Thuiswonend",5012,6055,4610,1609,7152,4187,5117,33742,FALSE
"10","Vrouw","Uitwonend",9892,4183,4009,5616,6536,8117,17776,56129,FALSE
"11","Vrouw","Uitwonend",10466,3249,1002,1437,1015,4691,5253,27113,TRUE
"12","Vrouw","Uitwonend",4915,10179,6154,5264,28,2577,6047,35164,FALSE
"13",NA,"Uitwonend",33,8139,6419,138,8995,7702,0,31426,FALSE
"14","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Vrouw","Thuiswonend",4650,3658,2883,1476,0,0,5017,17684,FALSE
"16","Man","Thuiswonend",6605,7647,3817,4595,3210,5187,6235,37296,FALSE
"17","Vrouw","Uitwonend",3645,4909,5214,6207,7288,9579,8536,45378,FALSE
"18","Vrouw","Thuiswonend",9221,5175,4586,1041,2125,5587,6360,34095,FALSE
"19","Vrouw","Thuiswonend",6113,13245,22098,1235,4736,14009,0,61436,FALSE
"20","Vrouw","Thuiswonend",7865,8060,5964,10024,14717,4115,6105,56850,FALSE
"21","Man","Thuiswonend",6746,6253,10580,1042,2125,3643,6348,36737,FALSE
"22",NA,"Uitwonend",6137,14538,6116,3709,3479,2463,12318,48760,FALSE
"23","Man","Uitwonend",2920,3518,3659,0,3368,5935,4523,23923,FALSE
"24","Vrouw","Thuiswonend",4199,11562,6735,6902,383,3501,7164,40446,FALSE
"25","Man","Thuiswonend",12257,13984,12975,5560,11835,3957,4346,64914,TRUE
"26","Vrouw","Thuiswonend",11508,7006,7155,4667,8076,7567,11250,57229,TRUE
"27","Vrouw","Thuiswonend",14077,5818,8140,4064,4099,5019,10297,51514,TRUE
"28","Vrouw","Uitwonend",8358,6610,7847,11650,8211,4459,7400,54535,FALSE
"29","Man","Uitwonend",12034,6150,5989,0,0,5413,13812,43398,TRUE
"30","Vrouw","Uitwonend",6717,6390,6019,8323,6941,10717,7189,52296,FALSE
"31","Man","Thuiswonend",11955,11805,4847,7527,1859,4725,6808,49526,TRUE
"32","Man","Uitwonend",5325,9080,6591,7092,9095,7163,8923,53269,FALSE
"33","Vrouw","Thuiswonend",4905,7660,5738,4692,6182,4079,11572,44828,FALSE
"34","Man","Thuiswonend",13047,10023,5803,41271,4580,12947,20001,107672,TRUE
"35","Vrouw","Uitwonend",13176,11789,7345,1359,5233,5867,15036,59805,TRUE
"36","Vrouw","Thuiswonend",7959,4286,12838,1171,7625,4783,4846,43508,FALSE
"37","Man","Thuiswonend",10150,6388,3833,1270,2153,5031,16413,45238,TRUE
"38","Vrouw","Thuiswonend",7215,7164,7635,10459,5619,10001,7503,55596,FALSE
"39","Man","Thuiswonend",9974,10973,3915,2789,4135,10870,6291,48947,FALSE
"40","Vrouw","Uitwonend",13960,4667,17426,29370,12706,1652,8908,88689,TRUE
"41","Vrouw","Thuiswonend",4329,4277,11185,7320,4142,5818,5133,42204,FALSE
"42","Vrouw","Uitwonend",6290,4786,6892,10372,5937,8936,14039,57252,FALSE
"43","Man","Thuiswonend",15240,18987,10376,8727,6281,11305,22674,93590,TRUE
"44","Vrouw","Thuiswonend",9612,11649,5085,5468,3739,0,6785,42338,FALSE
"45","Man","Uitwonend",8260,6451,9015,10312,3412,4956,7935,50341,FALSE
"46","Vrouw","Thuiswonend",11663,10089,10532,6381,5840,10035,11972,66512,TRUE
"47","Man","Uitwonend",12158,4690,5611,4295,7947,6497,6596,47794,TRUE
"48","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vrouw","Thuiswonend",9061,9820,5146,410,8697,8815,4391,46340,FALSE
"51","Vrouw","Uitwonend",11133,4877,6055,14708,0,0,5092,41865,TRUE
"52","Man","Uitwonend",4947,5978,15640,10779,16433,9439,4422,67638,FALSE
"53","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Man","Thuiswonend",12529,7272,16597,7013,5144,9046,12653,70254,TRUE
"55","Man","Uitwonend",16332,12083,9899,3506,9853,4314,13014,69001,TRUE
"56","Vrouw","Uitwonend",0,8657,1796,8704,4371,3261,2328,29117,FALSE
"57","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Vrouw","Uitwonend",5925,11048,3191,17565,4688,1689,7256,51362,FALSE
"59","Vrouw","Uitwonend",3852,4734,8217,5134,8185,4875,5755,40752,FALSE
"60","Man","Thuiswonend",11487,9963,11537,5215,1668,5928,3711,49509,TRUE
"61","Vrouw","Thuiswonend",4160,5108,4996,2228,971,7520,9934,34917,FALSE
"62","Man","Thuiswonend",4911,6657,4590,5886,5693,6343,9384,43464,FALSE
"63","Man","Thuiswonend",9485,6179,11517,5007,935,4334,4807,42264,FALSE
"64","Man","Thuiswonend",5232,6501,5430,7242,3829,4708,6755,39697,FALSE
"65","Vrouw","Thuiswonend",3702,470,8289,1063,2513,3196,9102,28335,FALSE
"66","Vrouw","Thuiswonend",2607,4198,2799,2010,618,4782,5908,22922,FALSE
"67","Vrouw","Thuiswonend",5002,5788,6586,9510,5225,6865,9934,48910,FALSE
"68","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Vrouw","Thuiswonend",8242,5733,3494,7133,1401,4155,12021,42179,FALSE
"70","Vrouw","Uitwonend",8046,9414,14032,10776,4707,6995,11082,65052,FALSE
"71","Vrouw","Uitwonend",8020,6033,5051,7402,5019,6365,6570,44460,FALSE
"72","Vrouw","Thuiswonend",5675,7552,14464,8719,2899,3486,4079,46874,FALSE
"73","Vrouw","Uitwonend",4567,5000,12406,8585,4479,5930,4050,45017,FALSE
"74","Vrouw","Uitwonend",4000,1548,1800,4149,1980,2973,4989,21439,FALSE
"75","Vrouw","Thuiswonend",8238,11563,5441,4342,1410,5325,9568,45887,FALSE
"76","Vrouw","Thuiswonend",5957,6613,6686,884,3898,8529,5016,37583,FALSE
"77","Man","Thuiswonend",5733,4824,3017,8297,615,5458,3560,31504,FALSE
"78","Vrouw","Thuiswonend",8876,3637,4508,1514,0,4016,8240,30791,FALSE
"79","Vrouw","Uitwonend",6886,3038,5891,6034,1763,2398,8197,34207,FALSE
"80","Man","Thuiswonend",5884,11863,3771,18166,1767,8794,12994,63239,FALSE
"81","Man","Uitwonend",6604,12456,6525,9859,4724,7497,5483,53148,FALSE
"82","Vrouw","Uitwonend",4728,15236,4148,7203,1932,5676,4946,43869,FALSE
"83","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Vrouw","Thuiswonend",0,0,0,0,0,0,0,0,FALSE
"86","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Man","Uitwonend",6927,1763,7331,2486,7638,8915,2254,37314,FALSE
"88","Vrouw","Uitwonend",15082,14061,5166,3351,8459,5734,0,51853,TRUE
"89","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Vrouw","Uitwonend",7496,19900,1624,4960,5533,9197,4416,53126,FALSE
"91","Vrouw","Uitwonend",7266,14292,9149,4807,10988,7853,4968,59323,FALSE
"92",NA,"Uitwonend",9700,13273,7942,2161,10073,2929,9557,55635,FALSE
"93","Man","Thuiswonend",2700,6783,6411,6010,2070,10056,4553,38583,FALSE
"94","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Vrouw","Uitwonend",6000,1600,0,1450,1390,2599,3159,16198,FALSE
"96","Man","Uitwonend",4950,1083,6555,5266,5969,6423,7455,37701,FALSE
"97","Vrouw","Uitwonend",1652,2701,3827,10299,5119,3878,6093,33569,FALSE
"98","Vrouw","Uitwonend",662,592,1348,406,1122,960,590,5680,FALSE
"99","Vrouw","Uitwonend",4600,3624,5015,638,3884,5690,5341,28792,FALSE
"100","Man","Uitwonend",12430,2268,9565,7877,2951,8973,12656,56720,TRUE
"101","Vrouw","Thuiswonend",1184,656,4272,8937,5597,1163,6486,28295,FALSE
"102","Man","Thuiswonend",5176,6805,7072,5374,3201,6713,6400,40741,FALSE
"103","Man","Uitwonend",10207,4270,3525,1494,1448,3921,7535,32400,TRUE
"104","Vrouw","Thuiswonend",1835,3540,1101,1022,2275,4622,3846,18241,FALSE
"105","Vrouw","Uitwonend",3625,8236,2261,4485,2874,6380,8157,36018,FALSE
"106",NA,"Thuiswonend",416,678,2479,1662,7445,4028,7435,24143,FALSE
"107","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Vrouw","Uitwonend",1720,529,8749,3861,3018,4254,4178,26309,FALSE
"109","Vrouw","Thuiswonend",3712,972,1330,1886,5415,3675,6843,23833,FALSE
"110","Vrouw","Uitwonend",3386,2549,10163,4742,2497,2843,719,26899,FALSE
"111","Vrouw","Thuiswonend",2364,1084,1538,2312,1737,1431,3229,13695,FALSE
"112","Man","Thuiswonend",2617,7028,2653,2418,1953,5656,5599,27924,FALSE
"113","Vrouw","Thuiswonend",6041,7858,1042,2799,5911,8655,6161,38467,FALSE
"114","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Vrouw","Uitwonend",2060,5415,5547,1792,4935,14575,6393,40717,FALSE
"116","Vrouw","Thuiswonend",4117,1584,4764,6044,5459,2686,13181,37835,FALSE
"117","Man","Thuiswonend",5629,3245,8406,732,3532,4738,4950,31232,FALSE
"118",NA,"Thuiswonend",0,0,0,0,0,0,0,0,FALSE
"119","Man","Thuiswonend",3100,3063,3044,700,5053,8047,12000,35007,FALSE
"120","Man","Uitwonend",6546,4094,5574,4067,4528,7141,1921,33871,FALSE
"121","Vrouw","Uitwonend",7302,0,0,2534,6160,8017,7516,31529,FALSE
"122","Man","Thuiswonend",2649,3412,234,187,1901,3692,4512,16587,FALSE
"123","Man","Uitwonend",1563,1103,1573,1292,1051,243,1352,8177,FALSE
"124",NA,"Uitwonend",1537,1800,2686,818,3785,1840,4989,17455,FALSE
"125",NA,"Thuiswonend",6036,8976,11672,7524,9373,8237,7626,59444,FALSE
"126","Man","Uitwonend",5099,5219,4126,3744,2411,4214,5468,30281,FALSE
"127","Vrouw","Uitwonend",9034,7843,0,0,8585,1952,4380,31794,FALSE
"128","Man","Thuiswonend",3983,4243,1010,3279,3354,1804,4634,22307,FALSE
"129","Vrouw","Thuiswonend",11631,2414,4204,4636,3574,3356,6271,36086,TRUE
"130","Vrouw","Thuiswonend",1394,124,2374,1598,2581,5408,4814,18293,FALSE
"131","Vrouw","Thuiswonend",1304,9834,351,2374,341,2581,4222,21007,FALSE
"132","Vrouw","Thuiswonend",3270,3636,1328,1718,3172,3441,4154,20719,FALSE
"133","Man","Uitwonend",37,500,2165,1104,1947,1972,11237,18962,FALSE
"134","Vrouw","Uitwonend",6015,6127,8090,2133,10644,1024,3454,37487,FALSE
"135","Vrouw","Uitwonend",13264,9693,3145,12029,5083,10720,6570,60504,TRUE
"136","Man","Thuiswonend",2037,2564,688,2306,5362,2424,3888,19269,FALSE
"137",NA,"Uitwonend",970,132,65,60,62,70,64,1423,FALSE
"138","Man","Thuiswonend",986,2183,8670,1016,3626,1017,3033,20531,FALSE
"139","Vrouw","Thuiswonend",6319,9099,6922,9290,10042,5199,5255,52126,FALSE
"140","Vrouw","Thuiswonend",2008,902,519,4315,4907,480,6513,19644,FALSE
"141","Vrouw","Uitwonend",1002,4554,2142,805,8566,1409,5072,23550,FALSE
"142","Vrouw","Thuiswonend",53388,4492,0,1747,3382,1837,8846,73692,TRUE
"143","Vrouw","Thuiswonend",8321,2195,6038,5609,5077,6836,6874,40950,FALSE
"144","Vrouw","Thuiswonend",5982,3519,1735,7499,3364,3018,7014,32131,FALSE
"145","Vrouw","Thuiswonend",2022,3837,3670,2045,5198,4372,7503,28647,FALSE
"146","Vrouw","Thuiswonend",5219,9176,4873,1979,3431,7989,13041,45708,FALSE
"147","Vrouw","Thuiswonend",0,0,4396,1417,958,0,5201,11972,FALSE
"148","Man","Uitwonend",5789,3469,9087,13456,2356,5374,1729,41260,FALSE
"149",NA,"Thuiswonend",4012,5531,941,3303,8345,3170,3412,28714,FALSE
"150",NA,"Uitwonend",2490,735,2501,5534,4721,2494,4313,22788,FALSE
"151","Vrouw","Uitwonend",667,7268,2259,1898,3502,4105,6739,26438,FALSE
"152","Man","Thuiswonend",3953,4242,1697,1717,3957,3226,5754,24546,FALSE
"153","Man","Thuiswonend",2166,8134,14987,9364,1946,13989,1809,52395,FALSE
"154","Man","Thuiswonend",52214,4596,11650,4883,5463,6531,6302,91639,TRUE
"155","Vrouw","Thuiswonend",2090,1467,3375,2913,3554,2493,2319,18211,FALSE
"156","Vrouw","Thuiswonend",4934,8001,2822,1992,3590,5797,4864,32000,FALSE
"157","Man","Thuiswonend",5081,10818,4618,6124,7079,6699,5681,46100,FALSE
"158","Vrouw","Thuiswonend",558,4515,2979,4476,4465,214,4973,22180,FALSE
"159","Vrouw","Uitwonend",3031,900,3311,11363,2107,804,0,21516,FALSE
"160",NA,"Uitwonend",1324,12,6093,4101,0,0,4808,16338,FALSE
"161","Man","Thuiswonend",4470,2395,573,1385,889,874,1472,12058,FALSE
"162",NA,"Thuiswonend",2497,1308,1663,4654,5954,4616,1111,21803,FALSE
"163","Vrouw","Uitwonend",2886,1891,4276,1197,4183,3414,5428,23275,FALSE
"164","Man","Thuiswonend",8711,1401,12035,2327,11713,2651,3745,42583,FALSE
"165","Vrouw","Thuiswonend",5070,6372,11683,1997,794,7047,573,33536,FALSE
"166","Vrouw","Uitwonend",2652,803,731,745,541,1138,4032,10642,FALSE
"167","Vrouw","Thuiswonend",20315,7181,3337,4047,4844,4498,5598,49820,TRUE
"168","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Vrouw","Thuiswonend",7053,3643,6864,1115,4222,7855,1882,32634,FALSE
"170","Man","Uitwonend",7335,5680,5863,3479,4858,3026,2498,32739,FALSE
"171","Vrouw","Uitwonend",1700,2466,4362,3102,4961,9522,4965,31078,FALSE
"172","Vrouw","Uitwonend",8801,4020,4154,3475,3384,10178,2558,36570,FALSE
"173","Man","Uitwonend",0,0,0,0,0,0,0,0,FALSE
"174","Man","Uitwonend",666,320,1259,557,426,2061,791,6080,FALSE
"175","Man","Thuiswonend",3839,5847,13132,3935,4419,6533,14474,52179,FALSE
"176","Vrouw","Thuiswonend",13014,1509,3404,10546,3488,906,4370,37237,TRUE
"177","Man","Thuiswonend",3957,678,3832,816,3975,707,3147,17112,FALSE
"178","Man","Thuiswonend",408,1471,7364,5114,371,531,524,15783,FALSE
"179","Man","Thuiswonend",3758,5064,8557,1165,4235,2109,7142,32030,FALSE
"180","Vrouw","Uitwonend",1348,526,610,1482,3062,837,1134,8999,FALSE
"181","Man","Uitwonend",1741,6142,4449,3588,1941,4303,6808,28972,FALSE
"182","Vrouw","Thuiswonend",1938,1719,1679,1631,4656,1118,5577,18318,FALSE
"183","Man","Thuiswonend",6814,3749,713,811,0,523,13979,26589,FALSE
"184",NA,"Thuiswonend",6046,1730,2105,152,2324,3732,4260,20349,FALSE
"185","Man","Uitwonend",1593,2588,2255,1411,6527,2190,4591,21155,FALSE
"186",NA,"Uitwonend",1342,7867,8725,4746,9151,5082,5465,42378,FALSE
"187","Man","Uitwonend",2569,5833,4229,4159,2760,1678,5296,26524,FALSE
"188","Vrouw","Thuiswonend",912,3766,4184,6053,4135,2019,3909,24978,FALSE
"189","Man","Thuiswonend",7228,4409,9121,1503,3784,1227,4731,32003,FALSE
"190","Vrouw","Uitwonend",4850,797,5069,7209,2374,3482,6030,29811,FALSE
"191","Man","Thuiswonend",8323,3242,7432,6588,4783,1693,8923,40984,FALSE
"192","Vrouw","Uitwonend",3006,2225,5507,1339,5040,6129,5039,28285,FALSE
"193","Vrouw","Thuiswonend",885,3230,2347,2934,4595,3521,3788,21300,FALSE
