"","geslacht","woon","stap_om_1_aantal","stap_om_2_aantal","stap_om_3_aantal","stap_om_4_aantal","stap_om_5_aantal","stap_om_6_aantal","stap_om_7_aantal","stap_om_week_aantal","stap_om_1_10000"
"1","Vrouw","Thuiswonend",7215,7164,7635,10459,5619,10001,7503,55596,FALSE
"2","Vrouw","Thuiswonend",7215,7164,7635,10459,5619,10001,7503,55596,FALSE
"3",NA,"Uitwonend",6137,14538,6116,3709,3479,2463,12318,48760,FALSE
"4","Vrouw","Thuiswonend",11663,10089,10532,6381,5840,10035,11972,66512,TRUE
"5","Vrouw","Thuiswonend",11663,10089,10532,6381,5840,10035,11972,66512,TRUE
"6","Man","Thuiswonend",15240,18987,10376,8727,6281,11305,22674,93590,TRUE
"7","Man","Uitwonend",12034,6150,5989,0,0,5413,13812,43398,TRUE
"8","Man","Thuiswonend",10150,6388,3833,1270,2153,5031,16413,45238,TRUE
"9","Man","Uitwonend",16332,12083,9899,3506,9853,4314,13014,69001,TRUE
"10",NA,NA,7496,19900,1624,4960,5533,9197,4416,53126,FALSE
"11","Vrouw","Uitwonend",7496,19900,1624,4960,5533,9197,4416,53126,FALSE
"12","Vrouw","Uitwonend",9905,4295,5266,5373,3041,2545,7395,37820,FALSE
"13","Vrouw","Thuiswonend",7959,4286,12838,1171,7625,4783,4846,43508,FALSE
"14","Man","Uitwonend",4947,5978,15640,10779,16433,9439,4422,67638,FALSE
"15","Man","Thuiswonend",18769,16589,7969,13499,6739,4564,10398,78527,TRUE
"16",NA,NA,18769,16589,7969,13499,6739,4564,10398,78527,TRUE
"17","Vrouw","Thuiswonend",4650,3658,2883,1476,0,0,5017,17684,FALSE
"18",NA,NA,10285,4431,10584,2608,2041,6717,11853,48519,TRUE
"19","Vrouw","Uitwonend",10285,4431,10584,2608,2041,6717,11853,48519,TRUE
"20","Man","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,4915,10179,6154,5264,28,2577,6047,35164,FALSE
"22","Vrouw","Uitwonend",4915,10179,6154,5264,28,2577,6047,35164,FALSE
"23","Vrouw","Uitwonend",10466,3249,1002,1437,1015,4691,5253,27113,TRUE
"24","Vrouw","Uitwonend",3645,4909,5214,6207,7288,9579,8536,45378,FALSE
"25","Man","Thuiswonend",12257,13984,12975,5560,11835,3957,4346,64914,TRUE
"26","Man","Uitwonend",2920,3518,3659,0,3368,5935,4523,23923,FALSE
"27","Vrouw","Thuiswonend",7865,8060,5964,10024,14717,4115,6105,56850,FALSE
"28",NA,"Uitwonend",33,8139,6419,138,8995,7702,0,31426,FALSE
"29","Vrouw","Thuiswonend",4199,11562,6735,6902,383,3501,7164,40446,FALSE
"30",NA,NA,7515,5997,3901,1449,1153,6447,6103,32565,FALSE
"31","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Man","Thuiswonend",5884,11863,3771,18166,1767,8794,12994,63239,FALSE
"33","Vrouw","Thuiswonend",8238,11563,5441,4342,1410,5325,9568,45887,FALSE
"34","Vrouw","Thuiswonend",2607,4198,2799,2010,618,4782,5908,22922,FALSE
"35","Man","Thuiswonend",5733,4824,3017,8297,615,5458,3560,31504,FALSE
"36","Vrouw","Uitwonend",8046,9414,14032,10776,4707,6995,11082,65052,FALSE
"37","Vrouw","Uitwonend",7266,14292,9149,4807,10988,7853,4968,59323,FALSE
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Man","Thuiswonend",11973,9937,14253,2907,4456,7818,3440,54784,TRUE
"47","Vrouw","Thuiswonend",5957,6613,6686,884,3898,8529,5016,37583,FALSE
"48","Vrouw","Uitwonend",13176,11789,7345,1359,5233,5867,15036,59805,TRUE
"49","Vrouw","Uitwonend",8020,6033,5051,7402,5019,6365,6570,44460,FALSE
"50","Vrouw","Thuiswonend",14077,5818,8140,4064,4099,5019,10297,51514,TRUE
"51","Vrouw","Thuiswonend",4329,4277,11185,7320,4142,5818,5133,42204,FALSE
"52","Vrouw","Uitwonend",11133,4877,6055,14708,0,0,5092,41865,TRUE
"53","Vrouw","Thuiswonend",6113,13245,22098,1235,4736,14009,0,61436,FALSE
"54","Vrouw","Uitwonend",8358,6610,7847,11650,8211,4459,7400,54535,FALSE
"55","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Vrouw","Thuiswonend",8242,5733,3494,7133,1401,4155,12021,42179,FALSE
"57","Man","Thuiswonend",6746,6253,10580,1042,2125,3643,6348,36737,FALSE
"58","Man","Thuiswonend",4911,6657,4590,5886,5693,6343,9384,43464,FALSE
"59","Man","Thuiswonend",9974,10973,3915,2789,4135,10870,6291,48947,FALSE
"60","Man","Thuiswonend",9974,10973,3915,2789,4135,10870,6291,48947,FALSE
"61","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,"Uitwonend",9700,13273,7942,2161,10073,2929,9557,55635,FALSE
"63","Vrouw","Thuiswonend",4160,5108,4996,2228,971,7520,9934,34917,FALSE
"64","Vrouw","Uitwonend",3852,4734,8217,5134,8185,4875,5755,40752,FALSE
"65","Vrouw","Thuiswonend",9221,5175,4586,1041,2125,5587,6360,34095,FALSE
"66","Man","Thuiswonend",11955,11805,4847,7527,1859,4725,6808,49526,TRUE
"67","Man","Uitwonend",6927,1763,7331,2486,7638,8915,2254,37314,FALSE
"68","Man","Thuiswonend",12529,7272,16597,7013,5144,9046,12653,70254,TRUE
"69","Vrouw","Uitwonend",4728,15236,4148,7203,1932,5676,4946,43869,FALSE
"70","Vrouw","Uitwonend",4728,15236,4148,7203,1932,5676,4946,43869,FALSE
"71","Vrouw","Uitwonend",6886,3038,5891,6034,1763,2398,8197,34207,FALSE
"72","Vrouw","Uitwonend",4567,5000,12406,8585,4479,5930,4050,45017,FALSE
"73","Vrouw","Thuiswonend",9612,11649,5085,5468,3739,0,6785,42338,FALSE
"74","Vrouw","Thuiswonend",5675,7552,14464,8719,2899,3486,4079,46874,FALSE
"75","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Vrouw","Uitwonend",13960,4667,17426,29370,12706,1652,8908,88689,TRUE
"77","Man","Thuiswonend",13047,10023,5803,41271,4580,12947,20001,107672,TRUE
"78","Vrouw","Uitwonend",9892,4183,4009,5616,6536,8117,17776,56129,FALSE
"79","Man","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Vrouw","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Vrouw","Uitwonend",0,8657,1796,8704,4371,3261,2328,29117,FALSE
"82","Vrouw","Uitwonend",5906,4997,6987,8054,7543,6789,9080,49356,FALSE
"83","Vrouw","Thuiswonend",3702,470,8289,1063,2513,3196,9102,28335,FALSE
"84","Vrouw","Thuiswonend",8876,3637,4508,1514,0,4016,8240,30791,FALSE
"85","Man","Thuiswonend",9304,1136,7600,5368,847,8703,4292,37250,FALSE
"86","Man","Thuiswonend",5232,6501,5430,7242,3829,4708,6755,39697,FALSE
"87","Vrouw","Thuiswonend",11508,7006,7155,4667,8076,7567,11250,57229,TRUE
"88","Vrouw","Thuiswonend",5012,6055,4610,1609,7152,4187,5117,33742,FALSE
"89","Man","Uitwonend",5325,9080,6591,7092,9095,7163,8923,53269,FALSE
"90","Man","Uitwonend",12158,4690,5611,4295,7947,6497,6596,47794,TRUE
"91","Vrouw","Thuiswonend",4094,5949,2808,1454,17456,4546,16316,52623,FALSE
"92","Man","Thuiswonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Man","Uitwonend",6604,12456,6525,9859,4724,7497,5483,53148,FALSE
"94","Man","Thuiswonend",2700,6783,6411,6010,2070,10056,4553,38583,FALSE
"95","Vrouw","Thuiswonend",4905,7660,5738,4692,6182,4079,11572,44828,FALSE
"96","Man","Thuiswonend",5232,6501,5430,7242,3829,4708,6755,39697,FALSE
"97","Vrouw","Uitwonend",4000,1548,1800,4149,1980,2973,4989,21439,FALSE
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Vrouw","Uitwonend",17107,10586,11085,6768,16327,3273,7038,72184,TRUE
"107","Vrouw","Uitwonend",17107,10586,11085,6768,16327,3273,7038,72184,TRUE
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Vrouw","Thuiswonend",5002,5788,6586,9510,5225,6865,9934,48910,FALSE
"117","Vrouw","Thuiswonend",9061,9820,5146,410,8697,8815,4391,46340,FALSE
"118",NA,NA,9485,6179,11517,5007,935,4334,4807,42264,FALSE
"119","Man","Thuiswonend",9485,6179,11517,5007,935,4334,4807,42264,FALSE
"120","Vrouw","Uitwonend",6290,4786,6892,10372,5937,8936,14039,57252,FALSE
"121","Man","Uitwonend",8260,6451,9015,10312,3412,4956,7935,50341,FALSE
"122","Vrouw","Thuiswonend",0,0,0,0,0,0,0,0,FALSE
"123","Man","Thuiswonend",11487,9963,11537,5215,1668,5928,3711,49509,TRUE
"124","Vrouw","Uitwonend",5925,11048,3191,17565,4688,1689,7256,51362,FALSE
"125","Vrouw","Thuiswonend",8002,4500,0,0,0,0,0,12502,FALSE
"126","Vrouw","Uitwonend",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Vrouw","Uitwonend",6717,6390,6019,8323,6941,10717,7189,52296,FALSE
"128","Man","Thuiswonend",6605,7647,3817,4595,3210,5187,6235,37296,FALSE
"129","Vrouw","Uitwonend",15082,14061,5166,3351,8459,5734,0,51853,TRUE
